Transaction Date,Description,Category,Debit,Credit
2024-01-05,Coffee Shop,Food,45.50,
2024-01-07,Grocery Store,Food,320.00,
2024-01-10,Bus Ticket,Travel,50.00,
2024-01-12,Online Book Purchase,Books,299.00,
2024-01-15,Restaurant Lunch,Food,450.00,
2024-01-18,Shopping Mall,Shopping,1200.00,
2024-01-20,Taxi Fare,Travel,120.00,
2024-01-22,Movie Tickets,Entertainment,600.00,
2024-01-25,Pharmacy,Healthcare,250.00,
2024-01-28,Electricity Bill,Utilities,800.00,
2024-02-01,Grocery Store,Food,450.00,
2024-02-05,Coffee Shop,Food,55.00,
2024-02-08,Bus Pass,Travel,500.00,
2024-02-10,Bookstore,Books,380.00,
2024-02-12,Restaurant Dinner,Food,750.00,
2024-02-15,Shopping Online,Shopping,950.00,
2024-02-18,Metro Card,Travel,200.00,
2024-02-20,Concert Tickets,Entertainment,1500.00,
2024-02-22,Doctor Consultation,Healthcare,800.00,
2024-02-25,Water Bill,Utilities,150.00,
